date,festival_id,tweet_id,tweet_text_hit,sent
Tue Mar 07 16:33:15 +0000 2017,@mysteryland,8.3915197330799e+17,"Ready to find out wholl be hosting our stages this summer?




 Tomorrow is the day well announce our 2017 hosting par https://t.co/xkurGkulK7",1
Tue Jul 05 15:49:09 +0000 2016,@lcpeachfestival,7.503558474908385e+17,Lost: A pair of glasses. Missing in Action during yesterday's festival. Please contact us if found.,1
Mon Feb 27 21:03:50 +0000 2017,@Bumbershoot,8.363209640234598e+17,"Today's word of the day...#bumbershoot 




 @Dictionarycom




 https://t.co/ml1JtL7RbD",1
Fri Mar 10 13:53:25 +0000 2017,@ElectricZooNY,8.401989122585272e+17,It's been great curating our 2017 line-up with all of you! Don't miss out - today is the last day to cast your votes https://t.co/6ZytOF9hDC,1
Tue Feb 14 15:59:29 +0000 2017,@bcsuperfest,8.315333309653975e+17,Single-Day Bayou Country Superfest are on sale now! Buy now to get the best seats available. Ticketmaster -&gt; https://t.co/x0KHMIhYyD,1
Mon Feb 13 17:15:06 +0000 2017,@bcsuperfest,8.311899706772849e+17,Single-day Bayou Country Superfest will go on sale tomorrow at 10am! Buy early to get the best seats available. https://t.co/iuc7B4zDtl,1
Sun Mar 12 18:26:39 +0000 2017,@Boston_Calling,8.40992448050561e+17,"Can't escape it. Catch @alexandrasavior at #BostonCalling on Saturday, May. 27! https://t.co/2u08pX25ic https://t.co/IDyLZlN8po",1
Fri Mar 10 17:02:09 +0000 2017,@Hangoutfest,8.402464065898168e+17,Thursday Kickoff tickets are on sale now! https://t.co/NPb6Tcf6um,1
Sun Mar 12 07:01:01 +0000 2017,@CountryMusic,8.408199044670792e+17,TODAY @baileymyown is taking over CMA Instagram Stories from #C2C2017! Follow along: https://t.co/yEHQo3f1IY https://t.co/GRXZ51xULL,1
Sun Mar 12 18:16:39 +0000 2017,@burningman,8.409899312626237e+17,"RT @burningman: TODAY in Austin, TX: Burning Man HQ staff members are hosting a @sxsw meetup at 6pm at Justines, 4710 E 5th St. https://t.",1
Sun Mar 12 18:00:01 +0000 2017,@burningman,8.409857461398938e+17,"TODAY in Austin, TX: Burning Man HQ staff members are hosting a @sxsw meetup at 6pm at Justines, 4710 E 5th St. https://t.co/0fFvqNvSxl",1
